rma_id,customer,model,sn,dealer,type_s,tr_date,quotation_date,confirm_date,repair_note,status,p_status,p_score,return_date
FMSV2023020019,"FUJIFILM Vietnam Co., Ltd.",EC-760ZP-V/M,2C730K027,,Ống soi đại tràng,2023-02-13,,2023-08-30,Chờ APAS Borrow,waiting for repair,,,
FMSV2023020022,FTYO - Loaner Asset,EC-760ZP-V/M,2C730K032,,Ống soi đại tràng,2023-02-14,,2023-08-30,Chờ APAS Borrow,waiting for repair,,,
FMSV2023030060,Hoang Long Clinic,VP-7000,2V644K028,Trang Thi,Bộ Xử lý,2023-03-31,2023-04-14,,PO111,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023030075,"FUJIFILM Vietnam Co., Ltd.",EC-530WI,1C603K041,,Ống soi đại tràng,2023-04-04,,2023-08-30,Chờ APAS Borrow,waiting for repair,,,
FMSV2023040004,FTYO - Loaner Asset,EN-580T,1C675K021,,Ống soi ruột non,2023-04-11,,2023-08-30,Chờ APAS Borrow,waiting for repair,,,
FMSV2023050025,Hoang Long Clinic,EG-760R,1G402K303,Trang Thi,Ống soi dạ dày,2023-05-17,2023-06-05,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023050078,Thai Binh Hospital,EG-530WR,LG361K357,Promed,Ống soi dạ dày,2023-06-01,,,Approved: 12-Jun-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060018,"FUJIFILM Vietnam Co., Ltd.",EG-530WR,2G361K546,,Ống soi dạ dày,2023-06-08,,,Part OK: 14-Aug. #PO109,waiting for repair,,,
FMSV2023060044,Hoang Long Clinic,EG-760R,1G402K304,Trang Thi,Ống soi dạ dày,2023-06-20,,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060047,Hoang Long Clinic,EG-760Z,1G403K110,Trang Thi,Ống soi dạ dày,2023-06-20,,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060048,Hoang Long Clinic,EC-760R-V/I,1C728K177,Trang Thi,Ống soi đại tràng,2023-06-20,,,PO110,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023060058,Hoang Long Clinic,BL-7000,2S101K411,Trang Thi,Bộ nguồn sáng,2023-06-22,,,PO110,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023070009,Hoan My Sai Gon Premier Hospital,ED-530XT,1D102K254,ETC,Ống soi mật tụy,2023-07-05,2023-07-05,2023-08-23,Confirmed: 23-Aug. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023070039,Hanoi Medical University Hospital,VP-4450HD,2V567K687,Trang Thi,Bộ Xử lý,2023-07-21,,,Approved: 27-Jul-23. Warranty Parts. ,LP/waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023070043,Vietnam – Cuba Donghoi Friendship Hospital,EG-760R,KG402K677,Promed,Ống soi dạ dày,2023-07-21,,,Approved: 27-Jul-23. Warranty Parts. ,waiting for part,Chuẩn bị linh kiện,4.0,
FMSV2023070079,Kon Tum Provincial General Hospital,EG-530WR,4G361K372,ETC,Ống soi dạ dày,2023-07-31,2023-07-31,2023-09-13,PO112,waiting for part,Chuẩn bị linh kiện,4.0,
