rma,CUSTOMER_NAME,customer,location,model_d,sn,install_date,warranty_date,receive_date,inspection_date,start_time,end_time,repair_size,issue_part,ks,wr_report,change_stt,Approval,repair_status,e_score,w_score,update_time,return_date
FMSV2019080079,"FUJIFILM Vietnam Co., Ltd.",FMSV,,EC-530WI,1C603K040,2017-08-30 00:00:00,2018-08-30 00:00:00,2019-08-20 14:20:02,2019-08-22 08:31:23,,,Nặng,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2020-01-20 18:53:35,2020-01-16 10:03:48
FMSV2019100025,FFAP asset,FMSV00293,,ED-530XT8,RD102A106,2019-06-07 00:00:00,2020-06-07 00:00:00,2019-10-18 14:47:56,2019-11-01 15:54:19,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2020-03-13 19:09:23,2020-03-06 09:12:28
FMSV2019100018,"FUJIFILM Vietnam Co., Ltd.",FMSV,,ED-530XT8,RD103A589,2012-09-17 00:00:00,2013-09-16 00:00:00,2019-10-16 10:59:52,2020-07-13 09:56:13,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2020-07-13 10:56:22,2020-03-05 17:15:11
FMSV2020090055,"FUJIFILM Vietnam Co., Ltd.",FMSV,,EG-530WR,2G361K546,2019-03-20 00:00:00,2020-03-20 00:00:00,2020-09-25 13:37:27,2020-09-28 13:25:32,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-01-11 11:32:37,2021-01-06 16:13:44
FMSV2020110015,Bach Mai Hospital - Nagoya Project,FMSV00317,,EC-600WL,1C692K140,2014-10-11 00:00:00,2019-10-11 00:00:00,2020-11-03 16:27:08,2020-11-10 14:20:32,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-03-15 15:53:47,2021-03-09 11:26:39
FMSV2021030112,Bac Giang Hospital,FMSV00062,,EC-530WL3,1C643K899,2016-11-28 00:00:00,2017-11-28 00:00:00,2021-03-31 16:26:16,2021-03-31 16:41:34,2021-03-31 16:50:10,2021-04-07 10:48:25,Nặng,Other,,,Completed,Approval,Đang giao hàng,7.0,0.0,2021-04-14 14:14:06,2021-04-12 13:38:09
FMSV2021030092,Tuyen Quang Hospital,FMSV00063,,EG-600WR,1G391K698,2015-08-28 00:00:00,2016-08-27 00:00:00,2021-03-24 14:48:27,2021-03-30 10:05:11,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-07-27 11:46:34,2021-07-22 15:27:19
FMSV2021030028,Hoang Long Clinic,FMSV00046,,EG-760R,1G402K291,2017-01-09 00:00:00,2018-01-09 00:00:00,2021-03-08 14:53:38,2021-03-09 11:38:08,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-08-16 11:09:13,2021-08-12 09:46:42
FMSV2021030030,Hoang Long Clinic,FMSV00046,,EC-760R-V/I,1C728K176,2017-01-09 00:00:00,2018-01-09 00:00:00,2021-03-08 14:55:20,2021-03-10 10:33:53,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-08-16 11:12:57,2021-08-12 09:48:06
FMSV2021040053,Hoang Long Clinic,FMSV00046,,EG-760Z,1G403K145,2017-02-08 00:00:00,2018-02-08 00:00:00,2021-04-19 09:56:33,2021-04-26 16:26:26,,,Nặng,Other,,,Completed,Transfer,Đang giao hàng,7.0,0.0,2021-09-20 15:25:14.713000,2021-09-17 12:36:03
FMSV2021100018,FTYO - Loaner Asset,FMSV00080,,ED-530XT8,3D103L054,2019-02-12 00:00:00,,2021-10-11 13:59:48,2021-10-14 19:00:31,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-10-28 16:36:19.766000,2021-10-27 16:47:19
FMSV2021060044,Tuyen Quang Hospital,FMSV00063,,EB-530T,1B084K617,2018-01-29 00:00:00,2019-01-29 00:00:00,2021-06-28 13:25:07,2021-06-29 13:50:33,,,Nặng,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2021-11-13 17:50:34.436000,2021-11-03 11:19:53
FMSV2021090002,VINH PHUC GENERAL HOSPITAL,FMSV00137,,EPX-2500(230V),2V564K066,2016-10-07 00:00:00,2017-10-07 00:00:00,2021-09-01 12:15:54,2021-09-07 12:22:49,,,Nặng,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2022-01-05 12:39:00.173000,2022-01-04 15:34:54
FMSV2021100014,Nghe An Friendship General Hospital,FMSV00129,,EG-530WR,2G361K829,2017-02-22 00:00:00,2018-02-22 00:00:00,2021-10-07 16:51:41,2021-10-11 19:59:06,,,Nặng,Other,,,Completed,Cancel,Chờ xác nhận (quá 3 tháng),9.0,0.0,2022-02-14 16:37:05.815000,2022-02-11 16:19:48
FMSV2021110026,E Hospital,FMSV00076,,XL-4450,3S094D177,2016-11-04 00:00:00,2017-11-04 00:00:00,2021-11-04 18:41:10,2021-11-05 12:37:53,,,Khác,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2022-03-04 11:37:58.291000,2022-03-03 19:19:23
FMSV2021110027,"FUJIFILM Vietnam Co., Ltd.",FMSV,,EG-530FP,1G374K535,,2020-01-15 00:00:00,2021-11-08 13:18:47,2021-11-09 15:38:12,,,Nặng,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2022-03-04 11:38:06.999000,2022-03-03 19:21:54
FMSV2021110093,Hoang Long Clinic,FMSV00046,,EG-760R,1G402K304,2017-02-08 00:00:00,2018-02-08 00:00:00,2021-11-29 10:11:10,2021-11-30 12:28:13,,,Nặng,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2022-03-04 11:39:44.792000,2022-03-03 19:57:30
FMSV2021110094,Hoang Long Clinic,FMSV00046,,EG-600WR,1G391K563,2015-07-08 00:00:00,2016-07-07 00:00:00,2021-11-29 10:11:43,2021-11-29 12:17:10,,,Nặng,Other,,,Completed,Decline,Chờ xác nhận (quá 3 tháng),9.0,0.0,2022-03-04 11:40:01.740000,2022-03-03 19:59:44
